date,time,DOY,Ta_1_1_1,RH_1_1_1,LWout_1_1_1,LWin_1_1_1,SWout_1_1_1,SWin_1_1_1,PPFD_1_1_1,Ts_1_1_1,Pa_1_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[µmol/m^2/s],[K],[Pa]
2020-07-14,01:30,196.0624,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,02:00,196.0833,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,02:30,196.1041,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,03:00,196.1249,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,03:30,196.1458,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,04:00,196.1666,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,04:30,196.1874,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,05:00,196.2083,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,05:30,196.2291,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,06:00,196.2499,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,06:30,196.2707,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,07:00,196.2916,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,07:30,196.3124,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,08:00,196.3332,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,08:30,196.3541,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,09:00,196.3749,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,09:30,196.3957,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,10:00,196.4165,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,10:30,196.4374,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,11:00,196.4582,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,11:30,196.4790,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,12:00,196.4999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,12:30,196.5207,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,13:00,196.5415,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,13:30,196.5624,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,14:00,196.5832,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,14:30,196.6040,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,15:00,196.6249,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,15:30,196.6457,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,16:00,196.6665,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,16:30,196.6873,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-14,17:00,196.7082,292.330,92.4800,0.963000,-6.07700,22.4900,140.991,283.380,282.270,45670.0
2020-07-14,17:30,196.7290,292.284,92.0733,0.965667,-7.94633,25.6513,162.510,327.500,282.268,45674.3
2020-07-14,18:00,196.7498,292.178,92.4400,1.12900,-4.59433,25.7067,164.325,327.550,282.260,45650.7
2020-07-14,18:30,196.7707,292.153,92.3867,1.19733,-3.94233,30.2143,187.372,360.727,282.260,45586.3
2020-07-14,19:00,196.7915,292.177,91.8633,1.25700,-9.10633,40.9683,255.143,482.300,282.260,45532.0
2020-07-14,19:30,196.8123,292.399,92.0200,1.00800,-14.7813,40.4207,245.585,461.310,282.260,45486.7
2020-07-14,20:00,196.8332,292.773,91.8233,0.806333,-9.07300,35.0990,215.521,409.633,282.260,45517.3
2020-07-14,20:30,196.8540,292.902,92.5533,1.28033,-4.28700,25.1737,157.788,308.613,282.260,45541.3
2020-07-14,21:00,196.8748,292.975,92.6533,1.01100,-5.20200,17.1377,110.188,224.090,282.260,45544.0
2020-07-14,21:30,196.8956,292.883,93.1800,0.299333,-2.47300,3.12167,16.4427,37.8183,282.260,45535.7
2020-07-14,22:00,196.9165,292.586,94.5333,0.203333,-1.73200,1.53067,8.66900,22.2180,282.253,45579.7
2020-07-14,22:30,196.9373,292.116,93.9733,0.820667,-2.67333,13.4323,89.6577,181.359,282.244,45585.0
2020-07-14,23:00,196.9581,291.489,93.0167,1.53700,-4.16467,25.6347,160.038,295.090,282.235,45615.0
2020-07-14,23:30,196.9790,291.361,91.9533,0.139667,-3.25400,6.86367,36.3630,72.5670,282.225,45693.0
2020-07-15,00:00,197.0000,290.568,88.5367,-0.860000E-01,-5.34367,11.8670,62.1497,115.933,282.220,45727.7
2020-07-15,00:30,197.0208,289.952,88.6700,-0.119000,-9.95233,13.2947,67.9700,120.770,282.215,45725.0
2020-07-15,01:00,197.0416,289.786,86.5000,-0.310333,-15.4337,14.6840,67.0417,114.757,282.210,45727.7
2020-07-15,01:30,197.0624,289.627,86.1967,-3.60433,-35.7913,13.9093,46.9853,67.2367,282.210,45762.7
2020-07-15,02:00,197.0833,289.173,87.9667,-4.40433,-43.3987,2.56533,5.45400,15.0827,282.210,45773.7
2020-07-15,02:30,197.1041,288.268,93.0333,-3.75333,-36.4157,1.09133,-1.04167,1.04733,282.210,45790.0
2020-07-15,03:00,197.1249,288.293,91.4933,-2.41600,-44.3343,1.40733,-1.95733,0.326333,282.210,45816.0
2020-07-15,03:30,197.1458,288.227,92.4700,-3.23800,-48.8197,1.90100,-2.15433,0.307000,282.210,45857.0
2020-07-15,04:00,197.1666,287.352,94.2767,-3.35900,-44.3783,1.08800,-2.48967,0.312667,282.210,45882.7
2020-07-15,04:30,197.1874,286.738,95.7533,-2.08833,-28.2433,1.88967,-1.28400,0.368667,282.210,45900.7
2020-07-15,05:00,197.2083,287.059,96.4467,-2.90567,-22.0513,2.24867,-0.365333,0.362667,282.210,45919.3
